WP,Latitude,Longitude,AltitudeAMSL,Speed,Picture,UavYaw,CameraTilt,WaitTime
1,39.09765396915569,-9.408004560569264,79.8903627803659,5,FALSE,,,
2,39.097620396188056,-9.407980110660988,80,5,FALSE,,,
3,39.09672079207023,-9.407324973683972,80.00000000516152,5,FALSE,,,
4,39.09671690441801,-9.407322142543102,80.00000003096906,5,FALSE,,,
5,39.09669979868137,-9.407309685479047,80.00000014452263,5,FALSE,,,
6,39.09668008485809,-9.407295329113536,80.11035294263469,5,FALSE,,,
7,39.09666764432019,-9.40728626943953,80.2901280016484,5,FALSE,,,
8,39.096655203781516,-9.407277209768747,80.46990306066212,5,FALSE,,,
9,39.09661846468943,-9.40725045499452,80.87299233632594,5,FALSE,,,
10,39.09643854726963,-9.407119432911202,80.99999929478967,5,FALSE,,,
11,39.096412888628024,-9.407100747466256,80.99999958209746,5,FALSE,,,
12,39.09639500533036,-9.407087724285468,80.99999978234229,5,FALSE,,,
13,39.09637945463546,-9.407076399785854,80.99999995646822,5,FALSE,,,
14,39.09637556696154,-9.407073568661737,80.99999999999969,5,FALSE,,,
15,39.096304811329325,-9.407022042291722,81.00000003214528,5,FALSE,,,
16,39.09629579840876,-9.407015478821906,81.92176021779566,5,FALSE,,,
17,39.096260466134325,-9.406989748855484,88.89168448607938,5,FALSE,,,
18,39.09621966599835,-9.406960037074962,95.3565969978736,5,FALSE,,,
19,39.09617383740477,-9.406926663482073,101.24687227347727,5,FALSE,,,
20,39.09612513634561,-9.406891198140318,106.3347011905298,5,FALSE,,,
21,39.09608523943147,-9.406862144242728,112.78422160676374,5,FALSE,,,
22,39.09603898296331,-9.40682845921301,118.83283299672289,5,FALSE,,,
23,39.095987985369824,-9.406791321647011,124.2245492793261,5,FALSE,,,
24,39.09593281605859,-9.40675114621648,128.8991695229347,5,FALSE,,,
25,39.095874091016505,-9.4067083815114,132.804499494957,5,FALSE,,,
26,39.095780779838854,-9.406640430691189,137.12716033407818,5,FALSE,,,
27,39.095746023117094,-9.406615120297316,139.26085215707388,5,FALSE,,,
28,39.09568948491965,-9.406573948352053,143.39453531626145,5,FALSE,,,
29,39.095629890308984,-9.406530550766655,146.7564180336907,5,FALSE,,,
30,39.095567883521554,-9.406485396694633,149.3101571595997,5,FALSE,,,
31,39.09550413487088,-9.40643897427561,151.02814586433192,5,FALSE,,,
32,39.095439333501254,-9.40639178535802,151.89181207799876,5,FALSE,,,
33,39.09540053641407,-9.406363533032993,151.9999930563639,5,FALSE,,,
34,39.09537565517643,-9.406345414351675,151.99999579951702,5,FALSE,,,
35,39.09535232901331,-9.406328428099654,151.99999837122303,5,FALSE,,,
36,39.09533833331411,-9.406318236353885,151.99999991424664,5,FALSE,,,
37,39.0951991532659,-9.406216884932343,152,5,FALSE,,,
38,39.0951286725342,-9.406165560786219,151.4923744767433,5,FALSE,,,
39,39.09512011959735,-9.406159332536516,151.36877897112527,5,FALSE,,,
40,39.09510301372256,-9.40614687604168,151.12158795988933,5,FALSE,,,
41,39.09499155013195,-9.406065708451544,151,5,FALSE,,,
42,39.094917959164164,-9.40601211980553,150.4474306565171,5,FALSE,,,
43,39.09490629605594,-9.40600362678934,150.27889133067418,5,FALSE,,,
44,39.09489696556886,-9.405996832378431,150.14405987000018,5,FALSE,,,
45,39.09488699646512,-9.405989572932622,150,5,FALSE,,,
46,39.09447184544909,-9.40568726443964,149.87299280150773,5,FALSE,,,
47,39.0944351059083,-9.405660511305785,149.4699025666303,5,FALSE,,,
48,39.0944203326017,-9.4056497536344,149.25641942056265,5,FALSE,,,
49,39.09441100209167,-9.405642959317973,149.12158795988853,5,FALSE,,,
50,39.09423033677557,-9.405511402372325,149,5,FALSE,,,
